inscricao	ano	Descrição	parcela	valor inicial	valor atual
23.315.020.00	2019	Imposto Territorial		200.1	250.7
23.316.002.00	2018	Taxa de Lixo/Obras Particulares		180.2	254.79
23.316.012.00	2018	Imposto Territorial		60.03	87.96
23.316.017.00	2018	Imposto Territorial		120.06	175.92
23.316.027.00	2019	Imposto Territorial		200.1	263.1
23.316.033.00	2017	Imposto Territorial		65.25	103.97
23.317.016.00	2019	Taxa LIC/Obras Particulares		55.3	63.72
23.317.027.00	2018	Imposto Territorial		200	293
23.321.009.00	2018	Imposto Territorial		20.8	30.48
23.321.013.00	2019	Imposto Territorial		145.6	191.52
23.321.015.00	2018	Imposto Territorial		156	228.6
23.321.019.00	2018	Imposto Territorial		62.4	91.44
23.321.020.00	2018	Imposto Territorial		83.2	121.92
23.321.021.00	2019	Taxa LIC/Obras Particulares		188.31	234.16
23.322.005.00	2019	Imposto Territorial		80.04	105.24
23.322.009.00	2019	Taxa LIC/Obras Particulares		44.24	53.05
23.322.018.00	2019	Parcelamento Regulariza Acordo nro. 9013/2019		1556.61	1763.22
23.322.019.00	2019	Taxa LIC/Obras Particulares		165.9	191.15
23.322.024.00	2019	Taxa LIC/Obras Particulares		55.3	66.32
23.322.040.00	2017	Imposto Territorial		43.5	69.32
23.322.040.00	2018	Imposto Territorial		60.03	87.96
23.323.013.00	2019	Taxa LIC/Obras Particulares		75.25	90.26
23.323.032.00	2019	Taxa LIC/Obras Particulares		245.13	301.99
23.324.016.00	2019	Taxa LIC/Obras Particulares		55.3	66.86
23.324.032.00	2019	Imposto Territorial		121.74	160.08
23.324.035.00	2019	Taxa LIC/Obras Particulares		414.75	533.9
31.245.009.00	2019	Taxa LIC/Obras Particulares		236.42	285.8
31.246.005.00	2019	Taxa LIC/Obras Particulares		110.6	129.1
31.247.030.00	2019	Imposto Territorial		89.56	112.26
31.247.032.00	2019	Taxa LIC/Obras Particulares		423.52	499
31.248.004.00	2018	Imposto Territorial		89.56	131.22
31.249.024.00	2018	Imposto Territorial		88.04	141.89
31.250.005.00	2019	Taxa LIC/Obras Particulares		82.95	99.48
31.252.009.00	2019	ISS Construção Civil		"3	053.36"	"3	694.60"
31.252.029.00	2019	Taxa LIC/Obras Particulares		165.9	191.15
31.253.011.00	2018	Imposto Territorial		752.3	"1	212.50"
31.253.028.00	2019	Imposto Territorial		223.44	293.88
31.253.028.00	2019	Taxa LIC/Obras Particulares		301.51	358.27
